resp,loom,fishID,cond,ISI,speed
0.62702987,9,fish11_f20,f20,20ISI,fast
0.545253317,10,fish11_f20,f20,20ISI,fast
1,1,fish1_f60,f60,60ISI,fast
0.776599591,2,fish1_f60,f60,60ISI,fast
0.669939658,3,fish1_f60,f60,60ISI,fast
0.574476279,4,fish1_f60,f60,60ISI,fast
0.570922006,5,fish1_f60,f60,60ISI,fast
0.688913249,6,fish1_f60,f60,60ISI,fast
0.66521555,7,fish1_f60,f60,60ISI,fast
0.656515407,8,fish1_f60,f60,60ISI,fast
0.625880032,9,fish1_f60,f60,60ISI,fast
0.619960033,10,fish1_f60,f60,60ISI,fast
1,1,fish2_f60,f60,60ISI,fast
0.940525707,2,fish2_f60,f60,60ISI,fast
0.717503875,3,fish2_f60,f60,60ISI,fast
0.795332882,4,fish2_f60,f60,60ISI,fast
0.938830385,5,fish2_f60,f60,60ISI,fast
0.948516563,6,fish2_f60,f60,60ISI,fast
1.004983829,7,fish2_f60,f60,60ISI,fast
1.022661463,8,fish2_f60,f60,60ISI,fast
0.813776662,9,fish2_f60,f60,60ISI,fast
0.88252325,10,fish2_f60,f60,60ISI,fast
1,1,fish3_f60,f60,60ISI,fast
0.693880182,2,fish3_f60,f60,60ISI,fast
0.656092896,3,fish3_f60,f60,60ISI,fast
0.654914863,4,fish3_f60,f60,60ISI,fast
0.628731059,5,fish3_f60,f60,60ISI,fast
0.5844022,6,fish3_f60,f60,60ISI,fast
0.57372303,7,fish3_f60,f60,60ISI,fast
0.495956803,8,fish3_f60,f60,60ISI,fast
0.481686234,9,fish3_f60,f60,60ISI,fast
0.458034072,10,fish3_f60,f60,60ISI,fast
1,1,fish4_f60,f60,60ISI,fast
1.007767311,2,fish4_f60,f60,60ISI,fast
0.784925503,3,fish4_f60,f60,60ISI,fast
1.032186718,4,fish4_f60,f60,60ISI,fast
1.366693107,5,fish4_f60,f60,60ISI,fast
1.349252641,6,fish4_f60,f60,60ISI,fast
1.726427594,7,fish4_f60,f60,60ISI,fast
1.478706262,8,fish4_f60,f60,60ISI,fast
1.482271222,9,fish4_f60,f60,60ISI,fast
1.703662101,10,fish4_f60,f60,60ISI,fast
1,1,fish5_f60,f60,60ISI,fast
0.870928632,2,fish5_f60,f60,60ISI,fast
0.759208285,3,fish5_f60,f60,60ISI,fast
0.832625761,4,fish5_f60,f60,60ISI,fast
0.81232086,5,fish5_f60,f60,60ISI,fast
0.753587864,6,fish5_f60,f60,60ISI,fast
0.833494736,7,fish5_f60,f60,60ISI,fast
0.773840198,8,fish5_f60,f60,60ISI,fast
0.753737918,9,fish5_f60,f60,60ISI,fast
0.99207073,10,fish5_f60,f60,60ISI,fast
1,1,fish6_f60,f60,60ISI,fast
0.790897626,2,fish6_f60,f60,60ISI,fast
0.664662259,3,fish6_f60,f60,60ISI,fast
0.661777538,4,fish6_f60,f60,60ISI,fast
0.638225577,5,fish6_f60,f60,60ISI,fast
0.583765237,6,fish6_f60,f60,60ISI,fast
0.729942628,7,fish6_f60,f60,60ISI,fast
0.658845173,8,fish6_f60,f60,60ISI,fast
0.690122693,9,fish6_f60,f60,60ISI,fast
0.630781011,10,fish6_f60,f60,60ISI,fast
1,1,fish7_f60,f60,60ISI,fast
0.966211263,2,fish7_f60,f60,60ISI,fast
0.910297449,3,fish7_f60,f60,60ISI,fast
0.862962612,4,fish7_f60,f60,60ISI,fast
0.868173161,5,fish7_f60,f60,60ISI,fast
0.822658697,6,fish7_f60,f60,60ISI,fast
0.689329089,7,fish7_f60,f60,60ISI,fast
0.78437437,8,fish7_f60,f60,60ISI,fast
0.875579187,9,fish7_f60,f60,60ISI,fast
0.851243135,10,fish7_f60,f60,60ISI,fast
1,1,fish8_f60,f60,60ISI,fast
1.05530109,2,fish8_f60,f60,60ISI,fast
0.698089794,3,fish8_f60,f60,60ISI,fast
0.966245751,4,fish8_f60,f60,60ISI,fast
0.89914582,5,fish8_f60,f60,60ISI,fast
0.980506941,6,fish8_f60,f60,60ISI,fast
0.765715325,7,fish8_f60,f60,60ISI,fast
0.67105037,8,fish8_f60,f60,60ISI,fast
0.946792743,9,fish8_f60,f60,60ISI,fast
0.921411701,10,fish8_f60,f60,60ISI,fast
1,1,fish1_s20,s20,20ISI,slow
0.772353415,2,fish1_s20,s20,20ISI,slow
0.646313563,3,fish1_s20,s20,20ISI,slow
0.708019979,4,fish1_s20,s20,20ISI,slow
0.516851106,5,fish1_s20,s20,20ISI,slow
0.598406588,6,fish1_s20,s20,20ISI,slow
0.547612181,7,fish1_s20,s20,20ISI,slow
