fishID,loom,response,genotype
58,3,0,mut
59,3,1,mut
60,3,1,mut
61,3,0,mut
62,3,1,mut
63,3,0,mut
64,3,0,mut
65,3,0,mut
66,3,1,mut
67,3,0,mut
68,3,1,mut
69,3,0,het
70,3,0,het
71,3,1,het
72,3,1,het
73,3,1,het
74,3,0,het
75,3,0,het
76,3,1,het
77,3,1,het
78,3,1,het
79,3,0,het
80,3,0,het
81,3,1,het
82,3,0,het
83,3,0,het
84,3,0,het
85,3,1,het
86,3,0,het
87,3,1,het
88,3,0,het
89,3,1,het
90,3,0,het
91,3,0,het
92,3,0,het
93,3,0,het
94,3,1,het
95,3,0,het
96,3,0,het
97,3,0,het
98,3,1,het
99,3,0,het
100,3,1,het
101,3,0,het
102,3,0,het
103,3,1,het
104,3,1,het
105,3,0,het
106,3,1,het
107,3,0,het
108,3,0,het
109,3,0,het
110,3,0,het
111,3,0,het
112,3,0,het
113,3,0,het
114,3,0,het
115,3,0,het
116,3,0,het
117,3,0,het
118,3,1,het
119,3,1,het
120,3,0,het
121,3,0,het
122,3,1,het
123,3,0,het
124,3,0,het
125,3,1,het
126,3,0,het
127,3,1,het
128,3,0,het
1,4,0,wt
2,4,1,wt
3,4,1,wt
4,4,1,wt
5,4,0,wt
6,4,0,wt
7,4,0,wt
8,4,0,wt
9,4,0,wt
10,4,0,wt
11,4,0,wt
12,4,0,wt
13,4,0,wt
14,4,1,wt
15,4,0,wt
16,4,1,wt
17,4,0,wt
18,4,0,wt
19,4,0,wt
20,4,0,wt
21,4,0,wt
22,4,1,wt
23,4,0,wt
24,4,0,wt
25,4,1,wt
26,4,0,wt
27,4,1,mut
28,4,0,mut
29,4,0,mut
30,4,0,mut
31,4,0,mut
32,4,1,mut
33,4,0,mut
34,4,0,mut
35,4,0,mut
36,4,0,mut
37,4,1,mut
38,4,0,mut
39,4,1,mut
40,4,1,mut
41,4,1,mut
42,4,0,mut
43,4,0,mut
44,4,0,mut
45,4,1,mut
46,4,0,mut
47,4,0,mut
48,4,0,mut
49,4,1,mut
50,4,0,mut
51,4,1,mut
52,4,1,mut
53,4,0,mut
54,4,0,mut
55,4,0,mut
56,4,0,mut
57,4,0,mut
58,4,0,mut
59,4,1,mut
60,4,1,mut
61,4,0,mut
62,4,0,mut
63,4,0,mut
64,4,1,mut
65,4,0,mut
66,4,1,mut
67,4,0,mut
68,4,1,mut
69,4,0,het
70,4,1,het
71,4,1,het
72,4,1,het
73,4,0,het
74,4,0,het
75,4,0,het
76,4,1,het
77,4,1,het
78,4,1,het
79,4,0,het
80,4,0,het
81,4,1,het
82,4,0,het
83,4,0,het
84,4,0,het
85,4,1,het
86,4,0,het
87,4,1,het
88,4,0,het
89,4,0,het
90,4,0,het
91,4,0,het
92,4,0,het
93,4,0,het
94,4,1,het
95,4,0,het
96,4,0,het
97,4,0,het
98,4,1,het
99,4,0,het
100,4,1,het
101,4,1,het
102,4,0,het
103,4,1,het
104,4,1,het
105,4,0,het
106,4,0,het
107,4,0,het
108,4,0,het
109,4,0,het
110,4,0,het
111,4,0,het
112,4,0,het
113,4,0,het
114,4,0,het
115,4,0,het
116,4,1,het
117,4,0,het
118,4,0,het
119,4,1,het
120,4,0,het
121,4,0,het
122,4,1,het
123,4,0,het
124,4,0,het
125,4,0,het
126,4,0,het
127,4,0,het
128,4,0,het
