resp,loom,fishID,cond,ISI,speed
0.185806052,9,fish11_f20,f20,20ISI,fast
0.186517352,10,fish11_f20,f20,20ISI,fast
1,1,fish1_f60,f60,60ISI,fast
0.503056246,2,fish1_f60,f60,60ISI,fast
0.294607951,3,fish1_f60,f60,60ISI,fast
0.266970723,4,fish1_f60,f60,60ISI,fast
0.307708814,5,fish1_f60,f60,60ISI,fast
0.127965463,6,fish1_f60,f60,60ISI,fast
0.209106264,7,fish1_f60,f60,60ISI,fast
0.178275695,8,fish1_f60,f60,60ISI,fast
0.132845523,9,fish1_f60,f60,60ISI,fast
0.154358181,10,fish1_f60,f60,60ISI,fast
1,1,fish2_f60,f60,60ISI,fast
0.492460448,2,fish2_f60,f60,60ISI,fast
0.419956647,3,fish2_f60,f60,60ISI,fast
0.334901549,4,fish2_f60,f60,60ISI,fast
0.362548317,5,fish2_f60,f60,60ISI,fast
0.308849066,6,fish2_f60,f60,60ISI,fast
0.237720966,7,fish2_f60,f60,60ISI,fast
0.246797615,8,fish2_f60,f60,60ISI,fast
0.208246306,9,fish2_f60,f60,60ISI,fast
0.210717499,10,fish2_f60,f60,60ISI,fast
1,1,fish3_f60,f60,60ISI,fast
0.594297713,2,fish3_f60,f60,60ISI,fast
0.500065536,3,fish3_f60,f60,60ISI,fast
0.422086223,4,fish3_f60,f60,60ISI,fast
0.368857779,5,fish3_f60,f60,60ISI,fast
0.339760163,6,fish3_f60,f60,60ISI,fast
0.307469867,7,fish3_f60,f60,60ISI,fast
0.213095111,8,fish3_f60,f60,60ISI,fast
0.174917827,9,fish3_f60,f60,60ISI,fast
0.188651099,10,fish3_f60,f60,60ISI,fast
1,1,fish4_f60,f60,60ISI,fast
0.433706616,2,fish4_f60,f60,60ISI,fast
0.461444915,3,fish4_f60,f60,60ISI,fast
0.462019864,4,fish4_f60,f60,60ISI,fast
0.355225035,5,fish4_f60,f60,60ISI,fast
0.296909348,6,fish4_f60,f60,60ISI,fast
0.304361702,7,fish4_f60,f60,60ISI,fast
0.252422545,8,fish4_f60,f60,60ISI,fast
0.168370694,9,fish4_f60,f60,60ISI,fast
0.183499803,10,fish4_f60,f60,60ISI,fast
1,1,fish5_f60,f60,60ISI,fast
0.476939989,2,fish5_f60,f60,60ISI,fast
0.354253911,3,fish5_f60,f60,60ISI,fast
0.286076935,4,fish5_f60,f60,60ISI,fast
0.296453182,5,fish5_f60,f60,60ISI,fast
0.27904326,6,fish5_f60,f60,60ISI,fast
0.19677351,7,fish5_f60,f60,60ISI,fast
0.211840035,8,fish5_f60,f60,60ISI,fast
0.177863122,9,fish5_f60,f60,60ISI,fast
0.167528688,10,fish5_f60,f60,60ISI,fast
1,1,fish6_f60,f60,60ISI,fast
0.64115995,2,fish6_f60,f60,60ISI,fast
0.359093408,3,fish6_f60,f60,60ISI,fast
0.235832107,4,fish6_f60,f60,60ISI,fast
0.310305579,5,fish6_f60,f60,60ISI,fast
0.21381836,6,fish6_f60,f60,60ISI,fast
0.16383874,7,fish6_f60,f60,60ISI,fast
0.193734178,8,fish6_f60,f60,60ISI,fast
0.17530451,9,fish6_f60,f60,60ISI,fast
0.185260691,10,fish6_f60,f60,60ISI,fast
1,1,fish7_f60,f60,60ISI,fast
0.407763422,2,fish7_f60,f60,60ISI,fast
0.416383933,3,fish7_f60,f60,60ISI,fast
0.308787862,4,fish7_f60,f60,60ISI,fast
0.272656789,5,fish7_f60,f60,60ISI,fast
0.216262499,6,fish7_f60,f60,60ISI,fast
0.270752709,7,fish7_f60,f60,60ISI,fast
0.240828216,8,fish7_f60,f60,60ISI,fast
0.167959253,9,fish7_f60,f60,60ISI,fast
0.237174203,10,fish7_f60,f60,60ISI,fast
1,1,fish8_f60,f60,60ISI,fast
0.421723603,2,fish8_f60,f60,60ISI,fast
0.369423813,3,fish8_f60,f60,60ISI,fast
0.265959015,4,fish8_f60,f60,60ISI,fast
0.21645045,5,fish8_f60,f60,60ISI,fast
0.294851467,6,fish8_f60,f60,60ISI,fast
0.277924211,7,fish8_f60,f60,60ISI,fast
0.285631326,8,fish8_f60,f60,60ISI,fast
0.184398301,9,fish8_f60,f60,60ISI,fast
0.244333168,10,fish8_f60,f60,60ISI,fast
1,1,fish1_s20,s20,20ISI,slow
0.331558648,2,fish1_s20,s20,20ISI,slow
0.258148503,3,fish1_s20,s20,20ISI,slow
0.244738905,4,fish1_s20,s20,20ISI,slow
0.14903902,5,fish1_s20,s20,20ISI,slow
0.191248634,6,fish1_s20,s20,20ISI,slow
0.164880013,7,fish1_s20,s20,20ISI,slow
0.129591609,8,fish1_s20,s20,20ISI,slow
0.170295012,9,fish1_s20,s20,20ISI,slow
0.123753516,10,fish1_s20,s20,20ISI,slow
1,1,fish2_s20,s20,20ISI,slow
0.548856614,2,fish2_s20,s20,20ISI,slow
0.324608685,3,fish2_s20,s20,20ISI,slow
0.245362429,4,fish2_s20,s20,20ISI,slow
0.176141191,5,fish2_s20,s20,20ISI,slow
0.13529512,6,fish2_s20,s20,20ISI,slow
0.123853201,7,fish2_s20,s20,20ISI,slow
0.173820893,8,fish2_s20,s20,20ISI,slow
0.095402996,9,fish2_s20,s20,20ISI,slow
0.087946069,10,fish2_s20,s20,20ISI,slow
1,1,fish3_s20,s20,20ISI,slow
0.520971198,2,fish3_s20,s20,20ISI,slow
0.330289223,3,fish3_s20,s20,20ISI,slow
0.187177647,4,fish3_s20,s20,20ISI,slow
0.132637646,5,fish3_s20,s20,20ISI,slow
0.212467707,6,fish3_s20,s20,20ISI,slow
0.167944137,7,fish3_s20,s20,20ISI,slow
0.147427028,8,fish3_s20,s20,20ISI,slow
0.148497034,9,fish3_s20,s20,20ISI,slow
0.123222105,10,fish3_s20,s20,20ISI,slow
1,1,fish4_s20,s20,20ISI,slow
0.494601454,2,fish4_s20,s20,20ISI,slow
0.278922634,3,fish4_s20,s20,20ISI,slow
0.181148161,4,fish4_s20,s20,20ISI,slow
0.215973085,5,fish4_s20,s20,20ISI,slow
0.197606069,6,fish4_s20,s20,20ISI,slow
0.163619949,7,fish4_s20,s20,20ISI,slow
0.164004013,8,fish4_s20,s20,20ISI,slow
0.11327096,9,fish4_s20,s20,20ISI,slow
0.110912131,10,fish4_s20,s20,20ISI,slow
1,1,fish5_s20,s20,20ISI,slow
0.409112116,2,fish5_s20,s20,20ISI,slow
0.201781317,3,fish5_s20,s20,20ISI,slow
0.224843583,4,fish5_s20,s20,20ISI,slow
0.160795903,5,fish5_s20,s20,20ISI,slow
0.211627339,6,fish5_s20,s20,20ISI,slow
0.18489726,7,fish5_s20,s20,20ISI,slow
0.132282514,8,fish5_s20,s20,20ISI,slow
0.139433384,9,fish5_s20,s20,20ISI,slow
0.161922921,10,fish5_s20,s20,20ISI,slow
1,1,fish6_s20,s20,20ISI,slow
0.389731099,2,fish6_s20,s20,20ISI,slow
0.311740492,3,fish6_s20,s20,20ISI,slow
0.35770639,4,fish6_s20,s20,20ISI,slow
0.352672554,5,fish6_s20,s20,20ISI,slow
0.339436917,6,fish6_s20,s20,20ISI,slow
0.296448568,7,fish6_s20,s20,20ISI,slow
0.323535343,8,fish6_s20,s20,20ISI,slow
0.206771242,9,fish6_s20,s20,20ISI,slow
0.27272615,10,fish6_s20,s20,20ISI,slow
1,1,fish7_s20,s20,20ISI,slow
0.336069116,2,fish7_s20,s20,20ISI,slow
0.128492713,3,fish7_s20,s20,20ISI,slow
0.133164344,4,fish7_s20,s20,20ISI,slow
0.117109669,5,fish7_s20,s20,20ISI,slow
0.120263407,6,fish7_s20,s20,20ISI,slow
0.10812926,7,fish7_s20,s20,20ISI,slow
0.141456328,8,fish7_s20,s20,20ISI,slow
0.133354744,9,fish7_s20,s20,20ISI,slow
